id,song,location_name,location_name_en,region,region_en,location_y,location_x,song_en,album,Singer,singer_en,songwriter,song_writer_en,year,lyrics,lyrics_en
71,Long D,伯斯,Perth,大洋洲,Oceania,-31.960249695991553, 115.86760821028462,Long D,Long D,陳凱泳,JACE,"林若寧, 馮翰銘, 馮允謙","Riley Lam, Alex Fung, Jay Fung",2022,無論你住 索里 伯斯 西雅圖市 你愛我知 談地說天 日日十次 溫馨提示,"Wherever you live, Surrey, Perth, or Seattle, your words each day still keep my heartbeat sound. Ten notes of tender weather, sky, and sun, small gentle proofs our miles can be undone."
72,Long D,西雅圖,Seattle,北美,North America,47.60778632825277, -122.34530096846902,Long D,Long D,陳凱泳,JACE,"林若寧, 馮翰銘, 馮允謙","Riley Lam, Alex Fung, Jay Fung",2022,無論你住 索里 伯斯 西雅圖市 你愛我知 談地說天 日日十次 溫馨提示,"Wherever you live, Surrey, Perth, or Seattle, your words each day still keep my heartbeat sound. Ten notes of tender weather, sky, and sun, small gentle proofs our miles can be undone."
73,Long D,北歐,Northern Europe,歐洲,Europe,62.580078212763425, 11.84026476910061,Long D,Long D,陳凱泳,JACE,"林若寧, 馮翰銘, 馮允謙","Riley Lam, Alex Fung, Jay Fung",2022,約你去街 睇戲 遊覽 吃喝 按摩 如學會飛 現在就去 北歐南極 對住你去講三個字,"Let’s stroll the streets, see films, be tourists two; if I could fly, I’d fly the world to you, to Nordic nights, to South Pole’s open blue, and breathe those three words I saved for you."
74,Long D,南極,Antarctica,南極,Antarctica,-78.48898021168377, -23.029864684425196,Long D,Long D,陳凱泳,JACE,"林若寧, 馮翰銘, 馮允謙","Riley Lam, Alex Fung, Jay Fung",2022,約你去街 睇戲 遊覽 吃喝 按摩 如學會飛 現在就去 北歐南極 對住你去講三個字,"Let’s stroll the streets, see films, be tourists two; if I could fly, I’d fly the world to you, to Nordic nights, to South Pole’s open blue, and breathe those three words I saved for you."
75,中暑傷風加失戀x2,尖沙咀,Tsim Sha Tsui,香港,Hong Kong,22.304601064334662, 114.16171989580157,Heatstroke Cold and Heartbreak x2,中暑傷風加失戀x2,Kiri T,Kiri T,"Kiri T, 小克","Kiri T, Chang Tsz Hin",2025,尖沙咀講分手 車廂中給處決 深水埗A出口 可否得到解脫 熱汗在蒸 眼淚滴下 浪漫就如白雪,"In Tsim Sha Tsui we end, verdicts are read; the swaying car becomes a court instead. At Exit A I beg release from woe, hot sweat, cold tears, romance dissolves to snow."
76,中暑傷風加失戀x2,深水涉A出口,Sham Shui Po Metro Exit A,香港,Hong Kong,22.330025221041016, 114.16246306598744,Heatstroke Cold and Heartbreak x2,中暑傷風加失戀x2,Kiri T,Kiri T,"Kiri T, 小克","Kiri T, Chang Tsz Hin",2025,尖沙咀講分手 車廂中給處決 深水埗A出口 可否得到解脫 熱汗在蒸 眼淚滴下 浪漫就如白雪,"In Tsim Sha Tsui we end, verdicts are read; the swaying car becomes a court instead. At Exit A I beg release from woe, hot sweat, cold tears, romance dissolves to snow."
77,中暑傷風加失戀x2,西灣河,Sai Wan Ho,香港,Hong Kong,22.28077700383955, 114.22121912251119,Heatstroke Cold and Heartbreak x2,中暑傷風加失戀x2,Kiri T,Kiri T,"Kiri T, 小克","Kiri T, Chang Tsz Hin",2025,西灣河講分手 好比短篇小說 筲箕灣B出口 鋪好一噸積雪,"At Sai Wan Ho we part, a story short; at Shau Kei Wan’s B gate—snow’s last resort. A ton of frost laid down upon the floor—our chapter ends, a quiet closing door."
78,中暑傷風加失戀x2,筲箕灣B出口,Shau Kei Wan Metro Exit B,香港,Hong Kong,22.2791843946225, 114.22965479392211,Heatstroke Cold and Heartbreak x2,中暑傷風加失戀x2,Kiri T,Kiri T,"Kiri T, 小克","Kiri T, Chang Tsz Hin",2025,西灣河講分手 好比短篇小說 筲箕灣B出口 鋪好一噸積雪,"At Sai Wan Ho we part, a story short; at Shau Kei Wan’s B gate—snow’s last resort. A ton of frost laid down upon the floor—our chapter ends, a quiet closing door."
79,勁浪漫 超溫馨,日本,Japan,日本,Japan,36.3742618593972, 139.9777868629417,Super Romantic and Cozy,勁浪漫 超溫馨,Gareth.T,Gareth.T,"黃偉文, Gareth.T, Teddy Fan","Wyman Wong, Gareth.T, Teddy Fan",2021,你使乜心急 帶我去日本 銅鑼灣夠有 五十隻綠茶 唔擔心要 睇餸先食飯 係你教識 開心咁簡單,"Don’t hurry love, take oolong by the hand; in Causeway Bay we make a softer stand. You showed me happiness is clear and bright, to taste the life before we read the bite."
80,勁浪漫 超溫馨,銅鑼灣,Causeway Bay,香港,Hong Kong,22.285671691863342, 114.1912483655422,Super Romantic and Cozy,勁浪漫 超溫馨,Gareth.T,Gareth.T,"黃偉文, Gareth.T, Teddy Fan","Wyman Wong, Gareth.T, Teddy Fan",2021,你使乜心急 帶我去日本 銅鑼灣夠有 五十隻綠茶 唔擔心要 睇餸先食飯 係你教識 開心咁簡單,"Don’t hurry love, take oolong by the hand; in Causeway Bay we make a softer stand. You showed me happiness is clear and bright, to taste the life before we read the bite."
81,獨家試唱,恆河,Ganges River,亞洲其他地區,Asia (Others),25.478358778314092, 83.21632101672559,Exclusive Trial Singing,完全擁有,鄭秀文,Sammi Cheng,"甄健強, Joon-Young Chol","甄健強, Joon-Young Chol",2005,愛我麼 就來為我 雪山唱到恆河 旁邊一個問 可不可插播,"If you still love me, sing across the snow, from mountain peaks down to the Ganges’ flow; a passerby asks softly, half in jest, could this one song slip in ahead of the rest?"
82,緊急聯絡人,白朗峰,Mont Blanc,歐洲,Europe,45.82707142619797, 6.867236505260736,Emergency Contact,緊急聯絡人,Gareth.T,Gareth.T,"黃偉文, Gareth.T, Patrick Yip","Wyman Wong, Gareth.T, Patrick Yip",2023,傳來法語 問你 是我的家屬吧 原來我已 自那 白朗之巔墮下,"A call in French: 'Are you his family?' I fell from Mont Blanc’s crown, from cold to wind."
83,飛花,札幌,Sapporo,日本,Japan,43.056632987108216, 141.36255653995445,Flying Flowers,飛花,李克勤,Hacken Lee,"陳少琪, 李偲菘","Keith Chan, Lee Wei Song",2001,同遊零度下 純白色的札幌 你說要永遠擁有這夜風光,"At zero degrees we walk in silver light; Sapporo’s white makes vows of winter night. You said this view would live in us to keep, a crystal dream that never goes to sleep."
84,冬天一個遊,雷門佛,Kaminarimon,日本,Japan,35.71135934910755, 139.79632270855018,A Winter Trip,冬天一個遊,Gordon Flanders,Gordon Flanders,Gordon Flanders,Gordon Flanders,2021,於東京那頭 雷門佛我倆作下寄祐 入夜便能夠 若能夠牽你手,"Beneath the Thunder Gate we breathe a prayer; when evening falls, I hold your shadow there. If fate allows, may I at last hold fast your waiting hand."
85,東京人壽,東京,Tokyo,日本,Japan,35.706145449608634, 139.78938470682587,Tokyo Life Insurance,東京人壽,容祖兒,Joey Yung,"黃偉文, Howie @Dear Jane, 容祖兒","Wyman Wong, Howie @Dear Jane, Joey Yung",2020,講好一起看奧運 都怕有突發 壞事件 擱誤著韶華 明年保了壽命 誰說一定 有伴侶與東京 明年即使有熱血 初櫻初雪 又如何約定,"We planned to see the Games one day, but fear some fate might turn away. Youth slips past, the world unsure, who knows if love or Tokyo will endure? Next year’s heat, first bloom or snow, how could we promise where to go?"
86,吳哥窟,吳哥窟,Angkor Wat,亞洲其他地區,Asia (Others),13.41238539034742, 103.8670286077978,Angkor Wat,我本人,吳雨霏,Kary Ng,"林若寧, 陳珀","Riley Lam, Bo Chen",2011,心聲安葬在岩洞 上帝 四次三番再愚弄 聽得見耳邊風 難逃避你那面孔 越要退出越向你生命移動,"I hid my voice in caves, then God would tease; I hear the gossip wind through withered trees. The more I quit your orbit’s gravity, the more I fall, your moon keeps pulling me."
87,出埃及記,亞喀巴灣,Gulf Aqaba,非洲,Africa,28.97387716818906, 34.65632044045316,Exodus,到此一遊,楊千嬅,Miriam Yeung,"林夕, 梁基爵","Albert Leung, Leon Ko",2014,我想知 如何令雪地花開 如何赤足走過 茫茫深海 超乎奇蹟以外,"How can snow make blossoms start? How barefoot cross an endless sea? Beyond the bounds of miracles, teach me to walk, and bloom, and breathe again."
88,自由行,蒙馬特,Montmartre,歐洲,Europe,48.88640343120624, 2.3430895614556806,Free Travel,Gold Typhoon Best Sellers Series,楊千嬅,Miriam Yeung,"黃偉文, 雷頌德","Wyman Wong, Mark Lui",2015,當我在蒙馬特 看遍滿街的馬戲 無端卻漸覺太自由 再也變不出驚喜,"On Montmartre’s ridge of carnivals and mime, I felt too free for wonder’s time. The tricks ran out, the painted joy grew thin. I miss the shock we sparked from deep within."
89,自由行,馬德里,Madrid,歐洲,Europe,40.41196396660102, -3.692026531253138,Free Travel,Gold Typhoon Best Sellers Series,楊千嬅,Miriam Yeung,"黃偉文, 雷頌德","Wyman Wong, Mark Lui",2015,遇不到他 怎夠狠 放得開你 願我那尾站 在馬德里,"I never met him, how to set you free? I wish my final stop were Madrid."
90,自由行,冰島,Iceland,歐洲,Europe,64.09567774915504, -21.795847790679538,Free Travel,Gold Typhoon Best Sellers Series,楊千嬅,Miriam Yeung,"黃偉文, 雷頌德","Wyman Wong, Mark Lui",2015,最怕世上遊遍 發覺沒有此人 冰島也沒有避世的小鎮,"I fear to roam the earth and learn you’re gone; no hidden town in Iceland to lean on."
91,自由行,巴格達,Baghdad,亞洲其他地區,Asia (Others),33.30158823176658, 44.37234927248245,Free Travel,Gold Typhoon Best Sellers Series,楊千嬅,Miriam Yeung,"黃偉文, 雷頌德","Wyman Wong, Mark Lui",2015,巴格達 莫斯科 發覺我一早去過 如果放病假會復元 假已放得這麼多,"Baghdad and Moscow already on my chart; if leave could mend, it couldn’t stitch this heart. So many absences I’ve signed and made, still love remains an unpaid sick-day parade."
92,自由行,莫斯科,Moscow,歐洲,Europe,55.75449951215664, 37.61259208588754,Free Travel,Gold Typhoon Best Sellers Series,楊千嬅,Miriam Yeung,"黃偉文, 雷頌德","Wyman Wong, Mark Lui",2015,巴格達 莫斯科 發覺我一早去過 如果放病假會復元 假已放得這麼多,"Baghdad and Moscow already on my chart; if leave could mend, it couldn’t stitch this heart. So many absences I’ve signed and made, still love remains an unpaid sick-day parade."
93,侯斯頓之戀,休斯頓,Houston,北美,North America,29.558526418271796, -95.08929370344767,Houston Love Affair,大熱,張國榮,Leslie Cheung,"林夕, 郭偉亮","Albert Leung, Eric Kwok",2010,即使我已經登上月球 觀賞你寄居這個美麗地球玲瓏剔透 離侯斯頓 山長與水遠 其實有差距沒有,"Even if I stand upon the moon to see, the crystal earth that shelters you and me; from Houston, miles and mountains intervene, yet in my heart no distance lies between."
94,薩拉熱窩的羅密歐與茱麗葉,薩拉熱窩,Sarajevo,歐洲,Europe,43.854199131676104, 18.410109291823566,Romeo and Juliet of Sarajevo,Show Mi,鄭秀文,Sammi Cheng,"林振強, 中島美雪","Richard Lam, Miyuki Nakajima",2014,戀 從無要分宗教 無民族爭拗 常寧願一生至死都與你戀,"Love needs no creed, no race to draw a line; I choose to love you all my life and time."
95,北極光,北極,Arctic,北極,Arctic,71.54565334697166, -38.46459146783191,Northern Lights,戀上莫文蔚,莫文蔚,Karen Mok,"黃偉文, Meyna Co","Wyman Wong, Meyna Co",2001,莫道為了你 我享受著期望 極地盡處有我靠的岸 即使已白髮蒼蒼 抬頭沒有光 得不到 也不甘 去淡忘,"For you I keep the lighthouse of my soul, at polar brink where frozen waters roll; though hair turns white and stars refuse to gleam, I will not let our northern longing dim."
96,如果東京不快樂,東京鐵塔,Tokyo Tower,日本,Japan,35.65850722155505, 139.74503959684563,If Tokyo is Not Happy,Play It Loud Kiss Music Soft,楊千嬅,Miriam Yeung,"林夕, 陳小霞","Albert Leung, Salsa Chen",2013,"如果東京不快樂 鐵塔亦能快樂 巴黎無快樂 亦能用菲林充實我眼光 我願意 從天邊 找我的海角","If Tokyo brings no easy spring to pass, the tower still can mirror joy in glass; if Paris cannot sweeten what I see, I seek my cape where heart and ocean meet."
97,如果東京不快樂,巴黎,Paris,歐洲,Europe,48.85883442616816, 2.341536925667891,If Tokyo is Not Happy,Play It Loud Kiss Music Soft,楊千嬅,Miriam Yeung,"林夕, 陳小霞","Albert Leung, Salsa Chen",2014,"如果東京不快樂 鐵塔亦能快樂 巴黎無快樂 亦能用菲林充實我眼光 我願意 從天邊 找我的海角","If Tokyo brings no easy spring to pass, the tower still can mirror joy in glass; if Paris cannot sweeten what I see, I seek my cape where heart and ocean meet."
98,如果東京不快樂,英國,United Kingdom,歐洲,Europe,54.93784285398819, -2.999201309768784,If Tokyo is Not Happy,Play It Loud Kiss Music Soft,楊千嬅,Miriam Yeung,"林夕, 陳小霞","Albert Leung, Salsa Chen",2015,即使風景不快樂 旅客亦能快樂 機場無快樂 任何伴侶都只是套晚裝 我願意 將英國 拿回來掛在客房,"Though England’s skies feel lonely dark and stark, a traveler can still relight a spark; the airport offers little warmth or cheer, I hang the Union Jack inside my sphere."
99,如果東京不快樂,北極,Arctic,北極,Arctic,71.86199339732961, -45.06265585090877,If Tokyo is Not Happy,Play It Loud Kiss Music Soft,楊千嬅,Miriam Yeung,"林夕, 陳小霞","Albert Leung, Salsa Chen",2016,我 就算不再相信北極有曙光 行雲流水亦愛看,"I may not trust the dawn on polar snow, yet clouds and rivers soothe me as they flow."
100,如果東京不快樂,冰島,Iceland,歐洲,Europe,64.74482850945199, -17.680189421284112,If Tokyo is Not Happy,Play It Loud Kiss Music Soft,楊千嬅,Miriam Yeung,"林夕, 陳小霞","Albert Leung, Salsa Chen",2017,假使春天不快樂 聖誕自然快樂 新年無快樂 就留在冰島想像到扎幌 我願意 將天國 拿來換美麗客房,"If spring brings no delight, then Christmas will be bright; if New Year has no cheer, in Iceland I’ll dream Sapporo near. I’d barter heaven’s bloom for one beautiful room."
101,如果東京不快樂,札幌,Sapporo,日本,Japan,43.11691098867106, 141.2932035032169,If Tokyo is Not Happy,Play It Loud Kiss Music Soft,楊千嬅,Miriam Yeung,"林夕, 陳小霞","Albert Leung, Salsa Chen",2018,假使春天不快樂 聖誕自然快樂 新年無快樂 就留在冰島想像到扎幌 我願意 將天國 拿來換美麗客房,"If spring brings no delight, then Christmas will be bright; if New Year has no cheer, in Iceland I’ll dream Sapporo near. I’d barter heaven’s bloom for one beautiful room."
102,富士山下,富士山,Mount Fuji,日本,Japan,35.35392420354805, 138.72467265057443,Under Mount Fuji,Solidays,陳奕迅,Eason Chan,"林夕, 澤日生","Albert Leung, Christopher Chak",2009,誰能憑愛意要富士山私有,"Who claims Mount Fuji by the force of will, can love alone possess a sacred hill; the mountain stands, a beauty none can own, we bow to wonder that is not our own."
103,富士山下,東京,Tokyo,日本,Japan,35.634419604773726, 139.43372483688464,Under Mount Fuji,Solidays,陳奕迅,Eason Chan,"林夕, 澤日生","Albert Leung, Christopher Chak",2009,忘掉我跟你恩怨 櫻花開了幾轉 東京之旅一早比一世遙遠,"Forget our feuds and petals shed in vain, how many blooms has Tokyo seen again; the trip we dreamed now feels too far to mend, a thousand lifetimes short of that one end."
104,迷失表參道,表參道,Omote-Sando Ave,日本,Japan,35.66731926133037, 139.70770007262232,Lost in Omote-Sando,酷愛,張敬軒,Hins Cheung,"林夕, 常石磊","Albert Leung, Chang Shilei",2007,找不到歸途 來到表參道 月色正打掃 黃葉在起舞 夜深表參道 讓我再起步 何處是旅途 隨處是旅途,"I lost my way on Omote-Sando’s lane, the moonlight sweeps, the yellow leaves remain; at midnight roads become a quiet guide, and every place I wander feels like tide."
105,澀谷駅前等,澀谷駅,Shibuya Station,日本,Japan,35.65838172363187, 139.70155000585206,Waiting in Front of Shibuya Station,澀谷駅前等,林智樂,Felix Lam,"林若寧, 澤日生","Riley Lam, Christopher Chak",2023,耐性的比賽 直到風光不再 原來澀谷東急總店消失我都會在 做遊客地標 讓每一位因為我等到所愛 所以我等不來亦視為很應該,"A patient test until the lights are gone, the Tōkyu fades yet I remain till dawn; a landmark soul for travelers to see, I wait so others find the love they seek."
106,九龍公園游泳池,九龍公園,Kowloon Park,香港,Hong Kong,22.30041545764404, 114.17065429449471,Kowloon Park Swimming Pool,香港是個大商場,My Little Airport,My Little Airport,My Little Airport,My Little Airport,2011,我喜歡九龍公園游泳池 那個戲水池有個瀑布位置 瀑布下站著能忘記煩惱事 每個星期我都會去一次,"I love that pool in Kowloon’s leafy park, the waterfall forgets the city’s bark; I stand beneath and let my worries go, return each week to hear the water flow."
107,南昌街王子,南昌街,Nam Cheong Street,香港,Hong Kong,22.333174216284693, 114.16661855009004,Prince of Nam Cheong Street,南昌街王子,薛凱琪,Fiona Sit,"黃偉文, 林家謙","Wyman Wong, Terence Lam",2020,你問南昌街有王子出沒嗎 這段情 非確幸嗎,"You ask if princes roam on Nam Cheong Street, is this affair pure luck or bittersweet; the answer turns where city shadows bend, uncertain love that dares not call an end."
108,麥記最後一夜,英國,England,歐洲,Europe,52.68614360189807, -3.759632077550951,Last Night at McDonald's,火炭麗琪,My Little Airport,My Little Airport,My Little Airport,My Little Airport,2016,就在那夜送你歸家以後 你再打給我說 你沒有上樓 沿著我背後一路走 因見面不敢開口 「明天要返英國」 電話裡淚流,"That night I walked you home and then you called, you did not climb the stairs, you only stalled; you followed quietly down the midnight lane, and said tomorrow England takes the train."
109,麥記最後一夜,廟街,Temple Street,香港,Hong Kong,22.306769356030113, 114.17005492837987,Last Night at McDonald's,火炭麗琪,My Little Airport,My Little Airport,My Little Airport,My Little Airport,2016,"想起廟街某夜 相士說你屬於那些「矛盾波動的千里馬」般狂野","I think of Temple Street and one late night, the fortune teller read your restless light; a thousand-mile horse with storms inside, a wildness that no tether could confine."
110,麥記最後一夜,大角咀,Tai Kok Tsui,香港,Hong Kong,22.320514528909705, 114.15986900249123,Last Night at McDonald's,火炭麗琪,My Little Airport,My Little Airport,My Little Airport,My Little Airport,2016,那夜經過大角咀你細訴小時候 然後我們隔一兩週 便結伴公園夜遊,"Past Tai Kok Tsui you spoke of childhood days, and then each fortnight met for parkland ways; the city dimmed and opened like a door, we walked the dark and learned to want no more."
111,新界香港跨區之戀,西環,Sai Wan,香港,Hong Kong,22.287533957809313, 114.13694931012603,Cross-District Love Between New Territories and Hong Kong,"白色太陽槍 (Blanc, Le Soleil, Le Pistolet)",The Lee's,The Lee's,The Lee's,The Lee's,2012,你說你是來自香港的西環 獨自在掛念沉默盼望期待這跨區之戀,"They called you Kai Tak, hardest place to land, where pilots test their courage and command; a city where arrivals learn to wait, and every parking place contends with fate."
112,新界香港跨區之戀,啟德機場,Kai Tak Airport,香港,Hong Kong,22.326351046354088, 114.19707220130164,Cross-District Love Between New Territories and Hong Kong,"白色太陽槍 (Blanc, Le Soleil, Le Pistolet)",The Lee's,The Lee's,The Lee's,The Lee's,2012,據說你就是香港的啟德機場 是世上最難降落最難停泊的一個城市,"They called you Kai Tak, hardest place to land, where pilots test their courage and command; a city where arrivals learn to wait, and every parking place contends with fate."
113,新界香港跨區之戀,大埔,Tai Po District,香港,Hong Kong,22.44365589303823, 114.1694116885841,Cross-District Love Between New Territories and Hong Kong,"白色太陽槍 (Blanc, Le Soleil, Le Pistolet)",The Lee's,The Lee's,The Lee's,The Lee's,2012,西環的餐室就是懷舊的山丘 大埔深秋仿佛給你喝醉,"In Sai Wan’s cafés hills of memory rise, Tai Po in autumn fills your roaming eyes; old corners pour a warming vintage shade, you drink the past and let the present fade."
114,新界香港跨區之戀,美孚新邨,Mei Foo Sun Chuen,香港,Hong Kong,22.336653350613545, 114.14020797684522,Cross-District Love Between New Territories and Hong Kong,"白色太陽槍 (Blanc, Le Soleil, Le Pistolet)",The Lee's,The Lee's,The Lee's,The Lee's,2012,其實我都好想跟你一起住 你説要公平點就要搬到九龍區的美孚新邨,"You said you wished that we could live as one, in Mei Foo Sun Chuen set beneath the sun; be fair, you said, and move across to Kowloon, a home where equal hearts can find their room."
115,太平道,太平道,Peace Avenue,香港,Hong Kong,22.318772749402925, 114.1738847500979,Peace Avenue,太平道,周國賢,Endy Chow,"李倩菱, 周國賢","Yemon Lee, Endy Chow",2022,望著道路亦變遷 彎彎曲曲的視線 這個世界再不新鮮 曾愛恨曾灰暗人生的試煉,"I watch the roadways twist and shift their skin, the world grows old yet changes from within; through trials of love and loss my sight is trained, to find a fresher path from what remained."
116,騷靈情歌,紐約,New York,北美,North America,40.72610068384649, -73.98618919958817,Soulful Love Song,笑忘書,張敬軒,Hins Cheung,"周耀輝, 林健華","Chow Yiu Fai, Joanus Lam",2006,愛似藍調遇節奏 如此即興 彷彿紐約某橫街 有異國喇叭 美麗塗鴉,"Like blues that meets a rhythm in the night, a sudden jam on New York’s lanes of light; a foreign horn, a wall of painted art, and music sketching maps across the heart."
117,早機,葡萄牙,Portugal,歐洲,Europe,38.711062518055655, -9.118123298085612,Early Flight,一生懸命,陳慧嫻,Priscilla Chan,"林若寧, Larry Wong","Riley Lam, Larry Wong",2006,無論波多爾葡萄再美 無論東西柏林還未盡興獵奇 任你再不肯放棄 必需放棄 另有天地,"No matter grapes or borders draw you near, you must release what you have clutched in fear; surrender what you cannot seize or keep, and let a larger sky invite you deep."
118,早機,德國,Germany,歐洲,Europe,51.033606911458115, 10.630674663436622,Early Flight,一生懸命,陳慧嫻,Priscilla Chan,"林若寧, Larry Wong","Riley Lam, Larry Wong",2006,無論波多爾葡萄再美 無論東西柏林還未盡興獵奇 任你再不肯放棄 必需放棄 另有天地,"No matter grapes or borders draw you near, you must release what you have clutched in fear; surrender what you cannot seize or keep, and let a larger sky invite you deep."
119,京都之雪,神護寺,Jingo-ji Temple,日本,Japan,35.05517695226778, 135.67109411084414,Snow in Kyoto,Music Cafe,鄧麗欣,Stephy Tang,李峻一,Joe Lei,2009,"神護寺 四野無人 寧靜洗潔了靈魂 讓鐘聲敲過願好景發生","At Jingo-ji the forest holds its breath, the quiet rinses off the dust of death; a bell resounds and wishes walk the air, I pray for blooming fortune everywhere."
120,青山散步,青山,Aoyama,日本,Japan,35.6698681205829, 139.69978772584085,A Walk on Aoyama,Coloring Stephy,鄧麗欣,Stephy Tang,"林若寧, 嘉琳","Riley Lam, Garlum Lau",2005,青山散步隨地拜訪 川久保那件晚裝 新裝仍然想給你一看,"On Aoyama I wander where we met, the dress by Kawakubo haunts me yet; I long to show you outfits new and true, and watch your eyes make old dreams feel like new."
121,青山散步,六本木,Roppongi,日本,Japan,35.661913174639885, 139.73468065724694,A Walk on Castle Peak,Coloring Stephy,鄧麗欣,Stephy Tang,"林若寧, 嘉琳","Riley Lam, Garlum Lau",2005,沿路能忘掉孤獨 讓眼淚留在六本木 遺蹟都安葬別追逐,"Along Roppongi’s path I lose the ache, let tears remain, let ruins lie awake; I leave pursuits that chased a borrowed flame, and let the future move without a name."
122,青山散步,二丁目,Ni-chome,日本,Japan,35.689742938040226, 139.70803204089358,A Walk on Castle Peak,Coloring Stephy,鄧麗欣,Stephy Tang,"林若寧, 嘉琳","Riley Lam, Garlum Lau",2005,讓快樂留在六本木 無需風光照別追逐 讓以後留在二丁目,"Leave joy in Roppongi, let haste be still, in Nichome keep the promise of your will; the future waits in corners we have known, a softer street where happiness has grown."
123,弦續,鹽湖城,Salt Lake City,北美,North America,40.75521473938955, -111.93340544164882,String Continuation,弦續,李克勤,Hacken Lee,"林若寧, Edmond Tsang","Riley Lam, Edmond Tsang",2023,他帶著豎琴移居了 住鹽湖城裡面 需解散樂團難以避免,"He moved with harp in hand to Salt Lake air, to end the band was fate we had to bear."
124,鐵塔凌雲,東京鐵塔,Tokyo Tower,日本,Japan,35.65855219148291, 139.74549246722444,Soaring Above the Tower,真經典,許冠傑,Sam Hui,"許冠文, 許冠傑","Michael Hui, Sam Hui",2002,鐵塔凌雲 望不見歡欣人面 富士聳峙 聽不見遊人歡笑,"The tower climbs the clouds yet hears no cheer, while Fuji rises silent, cold and clear."
125,鐵塔凌雲,富士山,Mount Fuji,日本,Japan,35.39686099424052, 138.67688747469347,Soaring Above the Tower,真經典,許冠傑,Sam Hui,"許冠文, 許冠傑","Michael Hui, Sam Hui",2003,鐵塔凌雲 望不見歡欣人面 富士聳峙 聽不見遊人歡笑,"The tower climbs the clouds yet hears no cheer, while Fuji rises silent, cold and clear."
126,鐵塔凌雲,自由女神像,Statue of Liberty,北美,North America,40.68941118579598, -74.04445746612092,Soaring Above the Tower,真經典,許冠傑,Sam Hui,"許冠文, 許冠傑","Michael Hui, Sam Hui",2004,自由神像 在遠方迷霧 山長水遠 未入其懷抱,"The statue in far mist keeps watch and calm, long roads and waters bar her open arm."
127,鐵塔凌雲,檀島,Honolulu,北美,North America,21.294276587965367, -157.84879697674953,Soaring Above the Tower,真經典,許冠傑,Sam Hui,"許冠文, 許冠傑","Michael Hui, Sam Hui",2005,檀島灘岸 點點磷光 豈能及漁燈在彼邦,"On Waikiki Beach the tiny lights appear, yet fisher lamps in distant coves shine clear."
128,情非首爾,南山塔,Namsan Tower,亞洲其他地區,Asia (Others),37.55116849785298, 126.98831242478971,Not Seoul,演奏廳,李克勤,Hacken Lee,"李克勤, 伍仲衡","Hacken Lee, Eric Ng",2005,漢城夜晚 南山塔中 跟你再相遇 想講你知 生活不寫意,"Seoul’s night at Namsan, meeting you once more, I wish to say life strains me to the core."
129,情非首爾,明洞新村,Myeong-dong,亞洲其他地區,Asia (Others),37.560798810619666, 126.98594188476623,Not Seoul,演奏廳,李克勤,Hacken Lee,"李克勤, 伍仲衡","Hacken Lee, Eric Ng",2005,借意問明天的你空閒嗎 重遊明洞新村可以嗎 過去像盲婚啞嫁 現在是熱情淡化,"May I ask if tomorrow you are free, to walk Myeong dong and mend our history."
130,情非首爾,漢江,Han River,亞洲其他地區,Asia (Others),,,Not Seoul,演奏廳,李克勤,Hacken Lee,"李克勤, 伍仲衡","Hacken Lee, Eric Ng",2005,難道你 誰人都不愛 沒有自信建立未來 讓漢江將你我 像南北般分開,"Tell me do you love no one at all, let Han River divide us like a wall."
131,阿士匹靈,洛杉磯,Los Angeles,北美,North America,34.08419242369244, -118.46005287686174,Aspirin,the Easy Ride,陳奕迅,Eason Chan,"黃偉文, 陳奐仁","Wyman Wong, Hanjin Tan",2001,還頭痛得要死 (猶)如就要down機 救藥卻在洛杉磯 遲來幾班客機,"My head could split, as if a plane descends, the cure waits in Los Angeles with delays and bends."
132,寒命,札幌,Sapporo,日本,Japan,43.14272451734011, 141.4021874153866,Cold Fate,Serving You,衛蘭,Janice,"林夕, 伍仲衡","Albert Leung, Eric Ng",2008,想起你這施捨過我的人 大概在札晃 跟她抖震 在小樽的臂彎中抱緊,"I think of you who once gave me your hand, in Sapporo you tremble in another’s band."
133,寒命,小樽,Otaru,日本,Japan,43.20262914528401, 140.9919275033261,Cold Fate,Serving You,衛蘭,Janice,"林夕, 伍仲衡","Albert Leung, Eric Ng",2008,想起你這施捨過我的人 大概在札晃 跟她抖震 在小樽的臂彎中抱緊,"I think of you who once gave me your hand, in Sapporo you tremble in another’s band."
134,寒命,北海道,Hokkaido,日本,Japan,43.27756716493842, 142.59707602932858,Cold Fate,Serving You,衛蘭,Janice,"林夕, 伍仲衡","Albert Leung, Eric Ng",2008,你每次 面對北海道夜欄 可否錯返我們時間,"Each time you face Hokkaido’s night’s wide span, could we turn back the clock and try again."
135,巴黎塔尖,埃菲爾鐵塔,Eiffel Tower,歐洲,Europe,48.85842564894233, 2.294524219719034,Atop the Eiffel Tower,Everything,王菲,Faye Wong,"林振强, Epo","Richard Lam, Epo",1990,不必攀登巴黎塔尖 詩般風光經已在前,"No need to scale the Paris spire for scene, the poem of light already lies between."
